@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R3-7

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute ghost1-live numeric
@attribute ghost2-live numeric
@attribute ghost3-live numeric
@attribute ghost4-live numeric
@attribute ghost1-pos-x numeric
@attribute ghost1-pos-y numeric
@attribute ghost2-pos-x numeric
@attribute ghost2-pos-y numeric
@attribute ghost3-pos-x numeric
@attribute ghost3-pos-y numeric
@attribute ghost4-pos-x numeric
@attribute ghost4-pos-y numeric
@attribute direction {North,South,East,West,Stop}

@data
5,9,0,1,0,0,1,1,1,10,5,1,7,1,North
5,10,0,1,0,0,1,1,1,10,5,1,7,1,North
5,11,0,1,0,0,1,1,1,11,5,1,7,1,West
4,11,0,1,0,0,1,1,2,11,5,1,7,1,West
3,11,0,1,0,0,1,1,1,11,5,1,7,1,West
1,11,1,1,1,1,6,5,6,9,8,11,14,6,Stop
1,11,1,1,1,1,7,5,5,9,8,11,14,6,Stop
1,11,1,1,1,1,8,5,5,10,8,11,14,6,East
2,11,1,1,1,1,7,5,5,9,9,11,14,6,East
3,11,1,1,1,1,6,5,5,9,8,11,14,5,East
4,11,1,1,1,1,6,4,5,10,8,11,13,5,East
5,11,1,1,1,1,6,3,5,10,8,11,14,5,East
6,11,1,1,1,1,5,3,5,10,9,11,15,5,East
7,11,1,1,1,1,5,3,5,11,9,11,16,5,East
8,11,1,1,1,1,6,3,5,11,9,11,15,5,East
9,11,1,1,0,1,5,3,5,10,5,1,15,4,West
8,11,1,1,0,1,4,3,5,9,5,1,15,5,West
7,11,1,1,0,1,4,3,6,9,5,1,15,5,West
6,11,1,1,0,1,3,3,6,8,5,1,16,5,South
6,10,1,1,0,1,4,3,6,9,5,1,16,4,South
6,9,1,0,0,1,4,4,3,1,5,1,16,4,South
6,8,1,0,0,1,4,3,3,1,5,1,16,3,East
7,8,1,0,0,1,4,3,3,1,5,1,16,4,East
8,8,1,0,0,1,4,3,3,1,5,1,16,3,South
8,7,1,0,0,1,4,3,3,1,5,1,16,4,South
8,6,1,0,0,1,5,3,3,1,5,1,16,3,South
8,5,1,0,0,1,6,3,3,1,5,1,15,3,West
7,5,1,0,0,1,5,3,3,1,5,1,15,3,West
6,5,1,0,0,1,5,4,3,1,5,1,15,4,South
6,4,1,0,0,1,5,3,3,1,5,1,15,4,West
5,4,1,0,0,1,5,3,3,1,5,1,14,4,West
4,4,1,0,0,1,5,3,3,1,5,1,15,4,East
5,4,1,0,0,1,6,3,3,1,5,1,15,3,West
4,4,1,0,0,1,5,3,3,1,5,1,14,3,West
3,4,1,0,0,1,5,4,3,1,5,1,15,3,East
4,4,1,0,0,1,5,4,3,1,5,1,15,4,South
4,3,1,0,0,1,4,4,3,1,5,1,16,4,East
5,3,1,0,0,1,5,4,3,1,5,1,16,3,North
5,4,0,0,0,1,1,1,3,1,5,1,16,3,West
4,4,0,0,0,1,1,1,3,1,5,1,16,3,East
5,4,0,0,0,1,1,1,3,1,5,1,15,3,East
6,4,0,0,0,1,1,1,3,1,5,1,15,4,East
7,4,0,0,0,1,1,1,3,1,5,1,15,5,East
8,4,0,0,0,1,1,1,3,1,5,1,14,5,North
8,5,0,0,0,1,1,1,3,1,5,1,15,5,East
9,5,0,0,0,1,1,1,3,1,5,1,16,5,East
10,5,0,0,0,1,1,1,3,1,5,1,16,5,East
11,5,0,0,0,1,1,1,3,1,5,1,16,4,East
12,5,0,0,0,1,1,1,3,1,5,1,16,5,East
13,5,0,0,0,1,1,1,3,1,5,1,16,5,East
14,5,0,0,0,1,1,1,3,1,5,1,17,5,East
15,5,0,0,0,1,1,1,3,1,5,1,17,5,East
16,5,0,0,0,1,1,1,3,1,5,1,17,5,East
1,11,1,1,1,1,6,5,6,9,8,11,14,6,Stop
1,11,1,1,1,1,5,5,6,9,9,11,14,6,Stop
1,11,1,1,1,1,6,5,5,9,10,11,14,6,East
2,11,1,1,1,1,5,5,6,9,10,10,14,5,East
3,11,1,1,1,1,5,5,6,9,11,10,13,5,East
4,11,1,1,1,1,6,5,6,9,11,11,14,5,East
5,11,1,1,1,1,6,5,6,9,11,10,14,5,East
6,11,1,1,1,1,7,5,6,10,10,10,14,6,South
6,10,1,0,1,1,7,5,3,1,10,10,14,5,South
6,9,1,0,1,1,8,5,3,1,11,10,15,5,East
